year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_id,player_url
2024,Adrian,Michigan Intercol. Ath. Assn.,3,32,Ben Bates,Fr,P,12,2,3.45,15.2,10,10,6,16,14,0,74,56,3,0,0,1,4,1,0,0,0,0,1,239,18,13,0,1,0,7,-,,574722,873,8596333,http://stats.ncaa.org/players/8596333?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,21,Lincoln Lipinski,So,P,21,2,4.24,34,29,16,16,16,32,0,151,124,9,1,0,2,5,7,0,0,0,1,3,568,32,34,4,0,2,11,-,,574722,873,8269990,http://stats.ncaa.org/players/8269990?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,45,Daniel Gutierrez,Jr,P,14,14,5.56,68,77,48,42,31,61,0,317,271,18,1,0,6,4,8,0,0,0,5,2,0,65,65,4,3,0,15,-,,574722,873,8277685,http://stats.ncaa.org/players/8277685?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,24,Anthony Mannarino,Sr,P,1,0,0,0.2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-,,574722,873,8263613,http://stats.ncaa.org/players/8263613?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,42,Luc St. Antoine,Sr,P,17,1,1.82,29.2,31,8,6,7,31,0,128,119,3,0,0,1,1,1,0,0,0,1,0,428,30,25,1,2,6,10,-,,574722,873,8276905,http://stats.ncaa.org/players/8276905?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,36,Broc Shoemaker,So,P,8,1,1.74,10.1,10,3,2,3,8,0,47,42,3,0,0,0,0,2,1,0,0,0,0,137,11,12,0,0,1,2,-,,574722,873,8270856,http://stats.ncaa.org/players/8270856?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,22,Tripp Russo,Sr,P,4,1,7.5,6,6,5,5,1,3,0,25,24,1,0,0,2,1,0,0,0,0,0,0,62,7,8,0,1,0,1,-,,574722,873,8274501,http://stats.ncaa.org/players/8274501?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,43,Griffin Firestine,Jr,P,5,0,2.08,4.1,3,1,1,3,4,0,19,15,1,0,0,0,2,1,0,0,0,0,0,75,4,4,0,1,1,2,-,,574722,873,8273458,http://stats.ncaa.org/players/8273458?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,21,Edward Wagner,So,1B,1,0,0,2,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,-,,574722,873,8275886,http://stats.ncaa.org/players/8275886?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,17,Ryan Davis,Jr,UT,10,0,3.38,10.2,10,5,4,10,12,0,55,44,1,0,0,1,1,1,0,3,0,0,0,95,13,7,1,0,3,7,-,,574722,873,8271048,http://stats.ncaa.org/players/8271048?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,4,Jakob Charles,So,INF,13,13,3.84,84.1,79,37,36,16,48,1,354,317,20,1,0,4,7,14,0,0,0,6,1,0,98,94,9,1,0,16,-,,574722,873,8275967,http://stats.ncaa.org/players/8275967?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,38,Wade Liffick,So,P,3,0,3.86,2.1,2,3,1,1,1,0,11,8,1,0,0,0,2,1,0,0,0,0,1,35,4,2,0,0,0,1,-,,574722,873,8265532,http://stats.ncaa.org/players/8265532?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,22,Edward Bieniasz,So,P,9,0,7.82,12.2,12,16,11,9,11,0,65,49,4,0,1,0,4,2,0,0,0,3,2,206,10,15,0,0,0,4,-,,574722,873,8284203,http://stats.ncaa.org/players/8284203?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,29,Jaxon Clark,So,P,12,12,3.39,74.1,75,37,28,13,58,0,314,288,15,4,2,3,2,6,0,0,0,4,3,986,82,73,7,3,0,22,-,,574722,873,8280678,http://stats.ncaa.org/players/8280678?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,28,Robert Leonard,So,P,12,0,6.14,14.2,17,12,10,8,12,0,71,59,3,0,0,1,1,3,0,0,0,1,0,220,16,13,2,1,0,5,-,,574722,873,8285842,http://stats.ncaa.org/players/8285842?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,34,A. Horwath,N/A,p,10,0,5.68,12.2,14,11,8,7,3,0,59,49,4,1,0,0,2,0,0,0,0,1,2,191,12,22,2,0,0,1,-,,574722,873,8595836,http://stats.ncaa.org/players/8595836?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,43,T. Pfirrman,N/A,p,1,0,9,1,1,1,1,1,1,0,5,4,1,0,0,0,1,0,0,0,0,0,0,24,1,1,0,0,0,1,-,,574722,873,8683948,http://stats.ncaa.org/players/8683948?year_stat_category_id=15081
2024,Adrian,Michigan Intercol. Ath. Assn.,3,46,L. Kozlowski,N/A,p,14,1,1.23,29.1,22,7,4,13,17,0,125,100,2,1,0,0,1,5,1,0,0,6,1,413,34,31,3,1,0,6,-,,574722,873,8681896,http://stats.ncaa.org/players/8681896?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,2,Eric Galarza,Sr,UT,7,3,11.05,14.2,18,18,18,13,13,0,76,58,9,0,0,2,1,3,0,0,0,0,2,224,10,18,0,3,2,5,5-10,L/L,574656,23257,8265559,http://stats.ncaa.org/players/8265559?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,22,Kyle Hensel,Jr,P,2,0,12.6,5,12,11,7,4,1,0,34,25,3,1,0,1,0,4,0,0,0,0,1,108,5,7,0,0,0,0,6-0,R/R,574656,23257,8272642,http://stats.ncaa.org/players/8272642?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,9,Aidan Kane,So,P,3,0,11.57,2.1,4,6,3,7,2,0,19,10,0,0,2,0,1,1,0,0,0,0,1,77,1,4,0,0,0,1,5-11,L/L,574656,23257,8270874,http://stats.ncaa.org/players/8270874?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,31,RJ Corgan,So,P,8,6,5.44,41.1,49,36,25,13,18,0,200,174,15,1,0,1,5,8,2,0,0,5,0,482,48,52,1,3,0,5,6-3,R/R,574656,23257,8275810,http://stats.ncaa.org/players/8275810?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,43,Croy Mastropietro,So,INF,3,1,16,9,24,19,16,4,3,0,55,49,2,0,0,3,1,1,0,0,0,0,1,105,3,18,0,0,0,0,6-0,R/R,574656,23257,8275842,http://stats.ncaa.org/players/8275842?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,15,Nick Kownack,Sr,P,6,0,16.2,5,7,10,9,7,3,0,29,20,1,0,0,0,2,1,0,1,1,1,0,87,3,8,0,0,1,2,6-3,R/R,574656,23257,8264118,http://stats.ncaa.org/players/8264118?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,1,Tyler Baldwin,Sr,P,4,2,8.64,8.1,19,14,8,4,3,0,47,41,4,0,0,0,3,1,0,0,0,0,1,91,6,11,0,1,0,1,5-7,R/R,574656,23257,8282885,http://stats.ncaa.org/players/8282885?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,44,Zack Fenn,Sr,P,6,0,9,4,8,5,4,3,6,0,26,19,1,0,3,1,1,3,0,0,0,1,0,78,3,3,0,0,0,3,5-8,L/L,574656,23257,8282097,http://stats.ncaa.org/players/8282097?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,10,Kevin Pascual,Fr,UT,7,6,12.74,29.2,51,50,42,17,15,0,167,139,12,2,0,6,5,8,0,0,0,2,1,416,29,41,1,3,0,7,6-1,R/R,574656,23257,8595894,http://stats.ncaa.org/players/8595894?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,6,Tyler Czeremcha,Fr,C,5,0,10.8,6.2,5,8,8,9,10,0,37,26,1,0,0,0,2,2,0,0,0,0,0,168,4,5,0,1,0,6,6-1,R/R,574656,23257,8595913,http://stats.ncaa.org/players/8595913?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,28,Aaron McIntyre,Fr,P,12,0,4.88,27.2,31,17,15,7,28,0,121,110,4,0,1,4,5,2,0,0,0,0,2,377,32,19,1,0,1,15,5-7,L/R,574656,23257,8595907,http://stats.ncaa.org/players/8595907?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,36,Toby Marineau,Fr,P,8,5,10.42,19,39,32,22,16,9,0,118,93,8,2,1,1,5,6,0,0,0,0,3,359,17,27,1,3,0,5,6-1,R/R,574656,23257,8595910,http://stats.ncaa.org/players/8595910?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,37,Tyler Harger,Fr,UT,12,0,4.81,24.1,33,16,13,11,15,0,118,101,7,0,0,2,2,2,1,3,1,0,4,261,8,47,2,1,0,8,5-11,R/R,574656,23257,8595911,http://stats.ncaa.org/players/8595911?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,39,Dylan Correa,Fr,P,3,0,15.63,6.1,15,13,11,4,5,0,40,36,5,1,0,1,3,0,0,0,0,0,0,171,6,7,0,0,0,3,5-9,R/R,574656,23257,8595912,http://stats.ncaa.org/players/8595912?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,12,Jack Angelo,Fr,P,7,3,6.86,21,37,24,16,3,5,0,106,99,9,1,1,3,2,0,0,0,0,2,2,118,19,36,2,3,0,0,5-10,R/R,574656,23257,8595896,http://stats.ncaa.org/players/8595896?year_stat_category_id=15081
2024,Albertus Magnus,Great Northeast,3,16,Albert Molina,Fr,P,9,9,4.55,59.1,65,36,30,19,25,1,268,236,16,2,1,2,2,8,0,0,0,2,3,658,50,94,4,4,0,6,5-9,R/L,574656,23257,8595899,http://stats.ncaa.org/players/8595899?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,8,Ryker Mazey,Jr,INF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,R/R,574723,873,8269935,http://stats.ncaa.org/players/8269935?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,22,Sean Cooper,Jr,P,9,3,10.88,24,25,30,29,31,24,0,133,90,10,1,1,2,0,7,0,0,0,3,2,493,16,27,3,3,1,4,-,,574723,873,8275178,http://stats.ncaa.org/players/8275178?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,39,Ryan Driscoll,Jr,P,3,0,27,2,5,6,6,1,0,0,14,10,0,0,0,0,0,3,0,0,0,0,0,48,2,3,0,0,0,0,-,,574723,873,8265925,http://stats.ncaa.org/players/8265925?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,12,Braeden Emery,Sr,INF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8275286,http://stats.ncaa.org/players/8275286?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,29,Brandon Lipson,So,UT,7,1,5.79,14,18,12,9,7,9,0,73,59,2,0,0,0,3,6,0,0,0,1,0,223,18,13,0,0,0,1,-,,574723,873,8261294,http://stats.ncaa.org/players/8261294?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,5,Zak Kelly,So,P,10,1,9.53,17,22,21,18,9,10,0,87,71,6,3,0,3,1,5,0,0,0,2,1,261,18,20,2,1,1,5,-,,574723,873,8269379,http://stats.ncaa.org/players/8269379?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,9,Luke Robertson,Jr,P,17,0,5.01,32.1,37,25,18,17,31,0,158,134,8,1,0,4,5,7,0,0,0,0,1,487,29,32,4,1,5,7,-,,574723,873,8263901,http://stats.ncaa.org/players/8263901?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,44,Teddy Brimblecombe,Sr,P,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,0,1,0,0,-,,574723,873,8275611,http://stats.ncaa.org/players/8275611?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,7,Evan Schuster,So,OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8267701,http://stats.ncaa.org/players/8267701?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,15,Austyn Stephens,Jr,INF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-,,574723,873,8273640,http://stats.ncaa.org/players/8273640?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,25,Andrew Renner,Jr,INF,11,5,7.8,30,35,27,26,23,28,0,154,119,8,0,0,0,2,6,0,0,0,4,2,570,27,32,2,3,1,11,-,,574723,873,8281497,http://stats.ncaa.org/players/8281497?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,10,Matt McGann,Sr,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8281777,http://stats.ncaa.org/players/8281777?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,17,Ian Balint,So,P,14,0,9.19,15.2,20,24,16,17,14,0,95,64,3,1,0,1,3,9,2,0,0,3,2,333,13,18,1,2,1,6,-,,574723,873,8286663,http://stats.ncaa.org/players/8286663?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,38,Scotty Clippert,Sr,P,17,2,6.81,35.2,58,36,27,19,23,0,188,159,16,0,6,2,1,6,0,0,0,1,3,635,29,47,0,2,1,10,-,,574723,873,8281868,http://stats.ncaa.org/players/8281868?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,41,Daniel Bruzdewicz,So,P,9,5,8.17,25.1,31,24,23,12,14,0,124,101,5,0,0,1,4,7,0,0,0,2,2,391,37,20,1,3,0,5,-,,574723,873,8286839,http://stats.ncaa.org/players/8286839?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,32,Garrett Draper,So,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8282066,http://stats.ncaa.org/players/8282066?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,20,Carson Dunn,Jr,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8278497,http://stats.ncaa.org/players/8278497?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,3,Cole Giesige,So,P,11,11,3.39,61,55,29,23,20,75,0,262,229,13,3,3,3,4,6,0,0,0,5,2,765,35,64,3,4,1,19,-,,574723,873,8282297,http://stats.ncaa.org/players/8282297?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,18,Brayden Raether,Jr,P,14,9,5.81,48,56,35,31,20,37,1,229,191,7,2,0,1,3,17,0,0,0,2,1,696,53,41,3,5,1,10,-,,574723,873,8278624,http://stats.ncaa.org/players/8278624?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,2,Mark Lauro,Sr,INF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8419642,http://stats.ncaa.org/players/8419642?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,14,Sam Archambeau,Fr,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-,,574723,873,8419644,http://stats.ncaa.org/players/8419644?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,23,Kris Stojanovski,Jr,OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-,,574723,873,8419646,http://stats.ncaa.org/players/8419646?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,36,Connor Tietema,Fr,P,1,0,0,0,1,2,2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,-,,574723,873,8419650,http://stats.ncaa.org/players/8419650?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,37,Brendan Schultz,Fr,P,1,0,0,0.2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,-,,574723,873,8419651,http://stats.ncaa.org/players/8419651?year_stat_category_id=15081
2024,Albion,Michigan Intercol. Ath. Assn.,3,47,Nick Baidoon,Jr,P,9,0,9.45,6.2,5,7,7,11,5,0,41,24,0,0,1,1,1,4,0,0,0,1,1,173,10,5,1,0,0,2,-,,574723,873,8419656,http://stats.ncaa.org/players/8419656?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,26,Lukas Khandagle,Jr,P,5,1,12,6,8,11,8,6,6,0,34,22,3,0,0,1,0,3,0,0,0,1,2,101,5,6,0,1,0,0,-,,574724,28744,8259499,http://stats.ncaa.org/players/8259499?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,9,Lucas Williams,So,p,9,9,4.97,41.2,46,33,23,24,34,0,201,156,5,3,0,1,1,9,0,0,0,5,7,659,37,43,2,5,0,13,-,,574724,28744,8260824,http://stats.ncaa.org/players/8260824?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,19,Eddie Cruz,Sr,P,8,1,9,11,13,13,11,11,11,0,59,44,2,0,0,1,0,3,0,0,0,1,0,147,9,10,0,0,0,6,-,,574724,28744,8276209,http://stats.ncaa.org/players/8276209?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,24,Kris Medford,Sr,P,7,0,6.75,6.2,7,5,5,8,5,0,39,29,0,0,0,1,2,2,0,0,0,0,0,92,4,10,0,0,0,1,-,,574724,28744,8264635,http://stats.ncaa.org/players/8264635?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,28,Adam Ferdock,Sr,P,10,2,4.05,20,21,15,9,4,9,0,93,83,5,0,0,1,1,6,0,0,0,0,0,248,18,29,1,2,0,1,-,,574724,28744,8273176,http://stats.ncaa.org/players/8273176?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,11,John O'Connor,Sr,OF,9,7,7.31,32,48,39,26,24,31,0,176,140,8,0,1,1,2,5,0,2,0,4,3,466,27,34,0,6,0,7,-,,574724,28744,8262684,http://stats.ncaa.org/players/8262684?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,23,Josh Tudor,So,p,12,1,6.46,23.2,33,20,17,5,12,0,111,103,7,0,0,1,4,1,0,2,1,0,2,333,23,32,0,1,1,5,-,,574724,28744,8267666,http://stats.ncaa.org/players/8267666?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,31,Sam Bilinsky,Fr,,6,1,13.09,11,20,17,16,4,6,0,62,55,6,0,0,3,1,3,0,0,0,0,0,215,11,16,1,1,0,0,-,,574724,28744,8456234,http://stats.ncaa.org/players/8456234?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,45,J.D. Graziano,Fr,,6,0,2.7,13.1,11,7,4,4,9,0,60,51,1,0,0,1,2,3,0,1,0,0,2,203,16,13,0,0,0,4,-,,574724,28744,8456248,http://stats.ncaa.org/players/8456248?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,29,Chris Valerio,Fr,P,6,1,7.27,8.2,7,7,7,5,8,0,41,32,1,0,0,1,1,3,0,2,0,0,1,100,9,9,1,0,0,1,-,,574724,28744,8456263,http://stats.ncaa.org/players/8456263?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,21,Hayden Paukstis,Jr,INF,8,1,10.29,14,25,20,16,6,5,0,79,67,7,1,0,2,0,3,0,1,0,1,2,205,14,20,2,2,0,0,-,,574724,28744,8285254,http://stats.ncaa.org/players/8285254?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,32,Nick Natalie,So,p,11,0,10.57,15.1,24,20,18,10,16,0,85,66,5,1,0,2,1,6,0,5,0,2,1,82,10,19,1,1,1,4,-,,574724,28744,8282937,http://stats.ncaa.org/players/8282937?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,41,Patrick Ahearn,Fr,P,12,0,6.88,17,23,13,13,4,9,0,77,67,2,0,0,2,0,3,1,7,1,1,2,144,10,27,3,2,2,3,-,,574724,28744,8456211,http://stats.ncaa.org/players/8456211?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,44,Lukas Netznik,Fr,P,2,0,18,2,5,4,4,1,2,0,13,10,1,0,0,0,3,1,0,0,0,0,1,33,1,3,0,0,0,0,-,,574724,28744,8456253,http://stats.ncaa.org/players/8456253?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,37,Andrew Pierce,Fr,P,9,0,14.04,8.1,11,13,13,12,4,0,51,34,1,0,0,1,0,4,1,2,1,1,0,108,8,11,0,0,0,2,-,,574724,28744,8456255,http://stats.ncaa.org/players/8456255?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,35,Tyler Boccelli,Fr,1B,3,1,5.4,6.2,12,4,4,0,1,0,28,27,4,0,0,0,0,0,0,0,0,1,0,72,8,7,0,0,1,0,-,,574724,28744,8456236,http://stats.ncaa.org/players/8456236?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,43,Blake Schlueter,Fr,P,6,0,10.8,6.2,4,8,8,10,4,0,36,23,0,1,1,1,4,2,0,0,0,1,0,65,11,5,0,0,0,1,-,,574724,28744,8456257,http://stats.ncaa.org/players/8456257?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,47,Colby Yaich,So,P,10,4,6.75,22.2,32,20,17,9,15,0,110,101,8,2,1,1,1,0,0,0,0,0,0,223,19,30,1,0,0,2,-,,574724,28744,8456264,http://stats.ncaa.org/players/8456264?year_stat_category_id=15081
2024,Albright,MAC Commonwealth,3,17,Dominic Yeager,Sr,P,10,9,5.51,50.2,67,34,31,15,32,0,236,211,14,3,0,4,1,3,0,0,0,4,3,475,39,71,1,4,0,9,6-1,L/L,574724,28744,8597615,http://stats.ncaa.org/players/8597615?year_stat_category_id=15081
2024,Alfred,Empire 8,3,14,Gabe Cheddie,Fr,OF,2,0,0,4,3,5,0,3,5,0,20,16,0,0,2,0,1,1,0,0,0,0,0,57,3,4,0,1,0,2,6-0,L/L,575837,863,8591658,http://stats.ncaa.org/players/8591658?year_stat_category_id=15081
2024,Alfred,Empire 8,3,4,Charlie Rapos,Fr,P,10,4,20.43,24.2,58,69,56,40,25,0,180,126,11,5,0,4,12,9,0,0,0,0,5,610,12,34,0,2,0,8,6-1,R/R,575837,863,8411076,http://stats.ncaa.org/players/8411076?year_stat_category_id=15081
2024,Alfred,Empire 8,3,17,Benjamin Weimer,So,P,9,7,19.38,26,52,71,56,37,26,0,186,137,10,8,0,3,12,9,0,0,0,0,3,624,21,28,1,7,0,9,6-5,R/R,575837,863,8411084,http://stats.ncaa.org/players/8411084?year_stat_category_id=15081
2024,Alfred,Empire 8,3,21,Aaron Buck,Sr,P,6,5,18,19,41,52,38,28,6,0,133,100,6,1,0,1,8,4,0,0,0,0,1,395,22,25,0,5,0,2,5-10,R/R,575837,863,8411086,http://stats.ncaa.org/players/8411086?year_stat_category_id=15081
2024,Alfred,Empire 8,3,26,Connor Enebrad,So,OF,11,1,32.4,11.2,29,59,42,44,11,0,115,67,6,2,2,0,16,3,0,0,0,0,1,360,7,16,0,1,0,6,5-10,R/L,575837,863,8411091,http://stats.ncaa.org/players/8411091?year_stat_category_id=15081
2024,Alfred,Empire 8,3,27,Quinton Jordan,Sr,OF,1,0,121.5,0.2,4,9,9,2,0,0,14,6,1,1,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,6-1,R/R,575837,863,8411092,http://stats.ncaa.org/players/8411092?year_stat_category_id=15081
2024,Alfred,Empire 8,3,33,Chris McDonald,Fr,P,10,0,18.36,16.2,28,38,34,23,18,0,116,78,5,4,0,0,5,12,0,0,0,0,3,381,7,23,0,1,0,5,6-2,R/L,575837,863,8411095,http://stats.ncaa.org/players/8411095?year_stat_category_id=15081
2024,Alfred,Empire 8,3,50,Nolan Pridmore,So,INF,5,0,14.4,10,21,22,16,12,13,0,71,56,2,0,0,2,5,2,0,0,0,0,1,215,5,12,0,0,0,6,6-1,L/R,575837,863,8411099,http://stats.ncaa.org/players/8411099?year_stat_category_id=15081
2024,Alfred,Empire 8,3,16,Owen Jennings,So,P,9,9,14.97,39.2,70,78,66,49,42,0,249,187,8,4,0,1,21,8,0,0,0,0,5,798,34,37,0,8,0,15,5-11,R/R,575837,863,8411083,http://stats.ncaa.org/players/8411083?year_stat_category_id=15081
2024,Alfred,Empire 8,3,20,Reyes Torres III,Jr,OF,7,0,14.25,12,28,26,19,9,3,0,80,65,3,2,0,0,3,3,1,0,0,0,3,171,6,26,0,0,0,2,6-0,R/R,575837,863,8411085,http://stats.ncaa.org/players/8411085?year_stat_category_id=15081
2024,Alfred,Empire 8,3,24,William Denton,Sr,INF,4,1,20.77,4.1,12,20,10,5,1,0,41,29,0,1,2,0,1,6,0,0,0,0,1,72,2,9,0,0,0,1,6-2,R/R,575837,863,8411089,http://stats.ncaa.org/players/8411089?year_stat_category_id=15081
2024,Alfred,Empire 8,3,1,Nate Siewert,So,OF,5,0,13.5,6.2,19,21,10,7,5,0,54,42,4,0,0,0,3,5,0,0,0,0,0,108,3,10,0,0,0,0,6-0,R/R,575837,863,8411074,http://stats.ncaa.org/players/8411074?year_stat_category_id=15081
2024,Alfred,Empire 8,3,7,Ashton Goring,So,P,2,2,24.55,7.1,11,22,20,16,9,0,54,30,3,0,0,1,1,6,0,0,0,0,2,211,2,10,0,1,0,5,6-2,L/L,575837,863,8411077,http://stats.ncaa.org/players/8411077?year_stat_category_id=15081
2024,Alfred,Empire 8,3,29,Ty Nagel,Jr,INF,1,0,32.4,1.2,3,7,6,5,0,0,11,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6-2,B/R,575837,863,8411093,http://stats.ncaa.org/players/8411093?year_stat_category_id=15081
2024,Alfred,Empire 8,3,47,Anthony Cortez,So,P,8,5,16.06,26.1,60,62,47,32,24,0,186,147,9,3,0,3,4,5,0,0,0,0,2,511,14,40,0,5,0,11,5-11,R/R,575837,863,8411096,http://stats.ncaa.org/players/8411096?year_stat_category_id=15081
2024,Alfred,Empire 8,3,10,Tyler Mulholland,Fr,1B,5,0,19.06,5.2,16,14,12,4,4,0,40,33,3,2,0,0,0,1,0,0,0,0,2,39,6,7,0,0,0,1,6-0,L/L,575837,863,8591657,http://stats.ncaa.org/players/8591657?year_stat_category_id=15081
